"ID","Month","ResponseTime"
"Secluded Finwhale",3,371.722980550934
"Daring Penguin",4,539.692335718193
"Fluid Baboon",4,538.43861900372
"Adoring Turaco",2,475.315372063583
"Greasy Dore",4,538.379357100765
"Patronal Erne",4,535.518322803514
"Key Hogget",2,452.214404100533
"Comely Prawn",3,382.7645729216
"Disused Scaup",3,366.518730064476
"Adoring Turaco",4,550.117288541258
"Indigoid Barb",2,459.575235725786
"Mutant Mealworm",3,363.416394019601
"Lexical Nutria",4,568.527818428977
"Isogonal Bluebird",4,541.940206410133
"Cracked Mole",2,553.872382331471
"Peevish Pinniped",2,456.580407932579
"Impolite Dore",3,366.377980260405
"Impolite Dore",4,547.058277442212
"Duckie Sealion",2,540.739165378949
"Adored Hogget",2,540.574556454392
"Farcical Jackal",4,545.290988557597
"Shameful Coyote",1,570.324285555769
"Joyless Whimbrel",2,598.810528271025
"Bardish Crane",1,621.610037275674
"Peevish Pinniped",1,610.980489746845
"Climbing Ovenbird",1,578.724862403492
"Azure Cockatoo",2,619.424602741584
"Damask Goose",4,543.884611708792
"Fake Pig",1,577.695280386748
"Shared Urubu",3,505.654735961745
"Daring Penguin",2,447.486934432242
"Lexical Nutria",3,366.469331474612
"Aerobic Swift",3,504.701473009158
"Balmy Javalina",4,561.490382330341
"Peevish Pinniped",4,554.897335054381
"Jaded Arkshell",1,575.690280509716
"Greedy Bison",1,571.235145246005
"Inborn Vireo",1,618.648061261941
"Disused Scaup",1,645.510179287627
"Ducal Eland",1,571.550216717942
"Didactic Penguin",2,462.92925523512
"Isogonal Bluebird",2,462.722380746525
"Precious Falcon",3,352.859610254096
"Glossy Cuckoo",1,605.458391786789
"Speedy Sparrow",1,601.252742203955
"Edacious Rat",2,562.386368704085
"Fake Pig",2,543.277853504327
"Irksome Jaguar",3,525.838501614544
"Hawkeyed Octopus",1,603.599839148527
"Secluded Finwhale",1,614.377410358036
"Unequal Imago",2,450.43556072697
"Cruel Loris",2,456.323900611723
"Harmless Bellfrog",3,367.541966211624
"Brickish Puffer",3,392.678378639344
"Wakeful Echidna",1,610.404982615788
"Fluid Baboon",1,600.18284255492
"Demure Hedgehog",2,463.891786306627
"Eternal Sable",2,553.812705353995
"Coy Feline",2,544.596426618754
"Key Hogget",1,609.669221960323
"Gluey Buzzard",3,367.108193516946
"Dreamy Coqui",2,537.355873484314
"Adorable Gaur",1,656.502788647568
"Taurine Lunamoth",3,382.197839012759
"Daring Penguin",3,377.127685157523
"Abased Pewee",1,569.766916729473
"Joyless Whimbrel",1,590.098297617522
"Spiky Collie",2,571.268903704858
"Cozy Yearling",1,584.151755530408
"Blocky Piranha",2,582.230875097613
"Brickish Puffer",4,566.722634695947
"Dashing Rodent",2,562.952010840141
"Varying Plankton",3,606.003510235475
"Harmless Bellfrog",1,635.118982146335
"Didactic Penguin",3,353.614897781778
"Didactic Penguin",1,614.361168635783
"Bardish Crane",3,352.127525981719
"Finical Chipmunk",3,379.687411134501
"Adorable Gaur",3,360.528376310073
"Tippable Mastiff",1,575.995857356143
"Cracked Mole",3,529.332395253106
"Outdoor Morayeel",1,631.190826764248
"Indigoid Barb",3,353.227772197559
"Tippable Mastiff",2,548.251746598983
"Cozy Yearling",2,553.889494729532
"Cushiony Marmoset",1,608.102364768379
"Greasy Dore",1,609.129817597844
"Learned Tarsier",3,549.493589784808
"Cruel Loris",1,604.937996751386
"Jute Cardinal",1,611.567275212642
"Fluffy Ynambu",4,544.835088803109
"Rural Parrot",3,544.144558789247
"Outdoor Morayeel",2,458.938929344609
"Deathful Teledu",3,384.82090459604
"Speedy Sparrow",3,516.575777006933
"Jobless Martin",2,455.962618683627
"Demure Hedgehog",4,559.019568351653
"Eternal Sable",3,530.026509786058
"Civillaw Lorikeet",2,466.002371719498
"Familiar Dairycow",2,501.730180775405
"Didactic Penguin",4,551.782004471154
"Cordial Skua",2,564.67931210828
"Disused Scaup",2,454.336061163699
"Key Hogget",3,365.194326751905
"Flyable Gorilla",3,354.017208744829
"Abased Pewee",3,507.945198263574
"Impolite Dore",1,611.831223227545
"Patronal Erne",2,495.647954917059
"Rural Parrot",2,572.674057341746
"Greedy Bison",2,550.176055159835
"Cushiony Marmoset",3,361.611409380115
"Shameful Coyote",3,502.974103355078
"Wakeful Echidna",2,471.766128565743
"Specific Bushbaby",2,455.1334508428
"Gluey Buzzard",2,493.915236098598
"Spiky Collie",1,578.537547260819
"Grayish Sphinx",3,510.197354096606
"Maxixe Flatfish",1,607.988432330223
"Mutant Mealworm",1,610.533557906487
"Gemmy Nilgai",1,572.577452470771
"Farcical Jackal",2,459.385245214159
"Balmy Javalina",2,456.165872977426
"Varying Plankton",2,547.964918180158
"Astatine Thrush",2,570.766536959225
"Suspect Songbird",2,460.376525617399
"Careworn Possum",1,578.750109050101
"Comely Prawn",2,457.341456658187
"Southern Bream",3,366.489347354207
"Primary Elephant",2,546.368910932713
"Specular Plover",2,550.491772547401
"Baby Zebra",3,529.076907759392
"Stressed Flee",1,569.503905221422
"Mutual Rooster",1,578.142118518745
"Grayish Sphinx",2,538.936004252166
"Dashing Rodent",3,530.537244195917
"Edacious Rat",1,616.901696437956
"Crushing Coral",1,609.367256763542
"Goofy Fairyfly",3,355.383336672698
"Crushing Coral",4,563.090544840601
"Generous Anhinga",3,516.52732191345
"Gluey Buzzard",1,607.341980554472
"Unequal Imago",3,377.239596180423
"Primary Elephant",1,567.836437311143
"Dreamy Coqui",1,564.831737720865
"Glossy Cuckoo",2,544.390525834497
"Jobless Martin",3,352.807749042414
"Fake Pig",3,505.640872667342
"Goofy Fairyfly",1,622.920768842946
"Peevish Pinniped",3,378.322249092505
"Duckie Sealion",1,588.413574506966
"Adored Hogget",3,509.893720659384
"Seared Eland",2,458.298379804561
"Southern Bream",4,557.8503361104
